Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Absolute Lateness
Job_008,2,748.04,2632.2084553666036,M3,1726.98,76.0,1802.98,-829.23,829.23
Job_017,6,1324.04,2570.684120384939,M6,1732.66,62.0,1794.66,-776.02,776.02
Job_012,5,1003.56,2613.151142775491,M1,1733.54,28.0,1761.54,-851.61,851.61
Job_023,2,1686.61,2926.9419982564077,M1,1761.54,22.0,1783.54,-1143.4,1143.4
Job_016,0,1198.72,2991.3626845028994,M1,1783.54,91.0,1874.54,-1116.82,1116.82
Job_008,3,748.04,2632.2084553666036,M5,1802.98,51.0,1853.98,-778.23,778.23
Job_019,3,1440.0,2686.644120384939,M3,1802.98,36.0,1838.98,-847.66,847.66
Job_010,4,891.94,2593.056913639195,M4,1811.66,32.0,1843.66,-749.4,749.4
Job_011,2,944.71,2828.8784553666037,M3,1838.98,76.0,1914.98,-913.9,913.9
Job_010,5,891.94,2593.056913639195,M6,1843.66,88.0,1931.66,-661.4,661.4
Job_008,4,748.04,2632.2084553666036,M2,1853.98,85.0,1938.98,-693.23,693.23
Job_013,2,1185.73,2751.136287875772,M5,1853.98,52.0,1905.98,-845.16,845.16
Job_005,9,319.39,1884.7962878757717,M7,1859.8,25.0,1884.8,0.0,0.0
Job_016,1,1198.72,2991.3626845028994,M0,1874.54,85.0,1959.54,-1031.82,1031.82
Job_025,0,1799.74,3112.661402734518,M1,1874.54,46.0,1920.54,-1192.12,1192.12
Job_017,7,1324.04,2570.684120384939,M7,1884.8,56.0,1940.8,-629.89,629.89
Job_002,9,152.78,1945.4226845028995,M4,1912.42,33.0,1945.42,0.0,0.0
Job_011,3,944.71,2828.8784553666037,M5,1914.98,51.0,1965.98,-862.9,862.9
Job_013,3,1185.73,2751.136287875772,M3,1914.98,95.0,2009.98,-741.16,741.16
Job_018,0,1429.61,3133.8829747034606,M1,1920.54,85.0,2005.54,-1128.34,1128.34
Job_012,6,1003.56,2613.151142775491,M6,1931.66,46.0,1977.66,-635.49,635.49
Job_017,8,1324.04,2570.684120384939,M8,1940.8,44.0,1984.8,-585.89,585.89
Job_019,4,1440.0,2686.644120384939,M4,1945.42,49.0,1994.42,-692.22,692.22
Job_025,1,1799.74,3112.661402734518,M0,1959.54,37.0,1996.54,-1116.12,1116.12
Job_011,4,944.71,2828.8784553666037,M2,1965.98,85.0,2050.98,-777.9,777.9
Job_012,7,1003.56,2613.151142775491,M5,1977.66,46.0,2023.66,-589.49,589.49
Job_010,6,891.94,2593.056913639195,M8,1984.8,19.0,2003.8,-589.26,589.26
Job_010,7,891.94,2593.056913639195,M9,2003.8,48.0,2051.8,-541.26,541.26
Job_014,0,1190.89,3258.109997094013,M1,2005.54,81.0,2086.54,-1171.57,1171.57
Job_018,1,1429.61,3133.8829747034606,M0,2005.54,13.0,2018.54,-1115.34,1115.34
Job_013,4,1185.73,2751.136287875772,M8,2009.98,48.0,2057.98,-693.16,693.16
Job_016,2,1198.72,2991.3626845028994,M3,2009.98,39.0,2048.98,-942.38,942.38
Job_019,5,1440.0,2686.644120384939,M5,2023.66,11.0,2034.66,-651.98,651.98
Job_023,3,1686.61,2926.9419982564077,M5,2034.66,61.0,2095.66,-831.28,831.28
Job_016,3,1198.72,2991.3626845028994,M2,2050.98,74.0,2124.98,-866.38,866.38
Job_008,5,748.04,2632.2084553666036,M9,2051.8,11.0,2062.8,-569.41,569.41
Job_010,8,891.94,2593.056913639195,M7,2051.8,36.0,2087.8,-505.26,505.26
Job_008,6,748.04,2632.2084553666036,M6,2062.8,40.0,2102.8,-529.41,529.41
Job_013,5,1185.73,2751.136287875772,M9,2062.8,72.0,2134.8,-616.34,616.34
Job_021,0,1592.78,3385.4226845028998,M1,2086.54,91.0,2177.54,-1207.88,1207.88
Job_012,8,1003.56,2613.151142775491,M7,2087.8,72.0,2159.8,-453.35,453.35
Job_019,6,1440.0,2686.644120384939,M6,2102.8,62.0,2164.8,-521.85,521.85
Job_016,4,1198.72,2991.3626845028994,M8,2124.98,90.0,2214.98,-776.38,776.38
Job_018,2,1429.61,3133.8829747034606,M2,2124.98,61.0,2185.98,-947.9,947.9
Job_011,5,944.71,2828.8784553666037,M9,2134.8,11.0,2145.8,-683.08,683.08
Job_013,6,1185.73,2751.136287875772,M0,2134.8,47.0,2181.8,-569.34,569.34
Job_007,9,515.63,2216.746913639195,M3,2137.75,79.0,2216.75,-0.0,0.0
Job_008,7,748.04,2632.2084553666036,M7,2159.8,89.0,2248.8,-383.41,383.41
Job_013,7,1185.73,2751.136287875772,M6,2181.8,65.0,2246.8,-504.34,504.34
Job_020,0,1528.05,3137.641142775491,M0,2181.8,43.0,2224.8,-912.84,912.84
Job_023,4,1686.61,2926.9419982564077,M3,2216.75,26.0,2242.75,-684.2,684.2
Job_020,1,1528.05,3137.641142775491,M2,2224.8,90.0,2314.8,-822.84,822.84
Job_003,9,207.97,2275.1899970940126,M5,2232.19,43.0,2275.19,-0.0,0.0
Job_025,2,1799.74,3112.661402734518,M3,2242.75,61.0,2303.75,-808.91,808.91
Job_018,3,1429.61,3133.8829747034606,M6,2246.8,7.0,2253.8,-880.09,880.09
Job_008,8,748.04,2632.2084553666036,M4,2248.8,26.0,2274.8,-357.41,357.41
Job_019,7,1440.0,2686.644120384939,M7,2248.8,56.0,2304.8,-381.85,381.85
Job_013,8,1185.73,2751.136287875772,M4,2274.8,6.0,2280.8,-470.34,470.34
Job_016,5,1198.72,2991.3626845028994,M5,2275.19,10.0,2285.19,-706.17,706.17
Job_023,5,1686.61,2926.9419982564077,M4,2280.8,69.0,2349.8,-577.15,577.15
Job_025,3,1799.74,3112.661402734518,M2,2314.8,13.0,2327.8,-784.87,784.87
Job_014,1,1190.89,3258.109997094013,M2,2327.8,95.0,2422.8,-835.31,835.31
Job_020,2,1528.05,3137.641142775491,M4,2349.8,75.0,2424.8,-712.84,712.84
Job_023,6,1686.61,2926.9419982564077,M8,2349.8,21.0,2370.8,-556.15,556.15
Job_018,4,1429.61,3133.8829747034606,M8,2370.8,64.0,2434.8,-699.09,699.09
Job_015,9,1197.28,2437.611998256408,M6,2384.61,53.0,2437.61,-0.0,0.0
Job_014,2,1190.89,3258.109997094013,M0,2422.8,71.0,2493.8,-764.31,764.31
Job_024,0,1759.39,3324.7962878757717,M2,2422.8,84.0,2506.8,-818.0,818.0
Job_020,3,1528.05,3137.641142775491,M9,2424.8,11.0,2435.8,-701.84,701.84
Job_020,4,1528.05,3137.641142775491,M3,2435.8,69.0,2504.8,-632.84,632.84
Job_011,6,944.71,2828.8784553666037,M6,2437.61,40.0,2477.61,-351.27,351.27
Job_009,9,781.95,2486.2229747034607,M7,2441.22,45.0,2486.22,-0.0,0.0
Job_025,4,1799.74,3112.661402734518,M6,2477.61,32.0,2509.61,-603.05,603.05
Job_016,6,1198.72,2991.3626845028994,M7,2486.22,12.0,2498.22,-493.14,493.14
Job_014,3,1190.89,3258.109997094013,M4,2493.8,99.0,2592.8,-665.31,665.31
Job_021,1,1592.78,3385.4226845028998,M0,2493.8,85.0,2578.8,-806.63,806.63
Job_011,7,944.71,2828.8784553666037,M7,2498.22,89.0,2587.22,-241.66,241.66
Job_020,5,1528.05,3137.641142775491,M1,2504.8,28.0,2532.8,-604.84,604.84
Job_026,0,1955.63,3656.7469136391956,M2,2506.8,31.0,2537.8,-1118.95,1118.95
Job_008,9,748.04,2632.2084553666036,M8,2509.15,74.0,2583.15,-49.06,49.06
Job_016,7,1198.72,2991.3626845028994,M6,2509.61,89.0,2598.61,-392.75,392.75
Job_025,5,1799.74,3112.661402734518,M5,2509.61,21.0,2530.61,-582.05,582.05
Job_010,9,891.94,2593.056913639195,M3,2514.06,79.0,2593.06,-0.0,0.0
Job_024,1,1759.39,3324.7962878757717,M1,2532.8,2.0,2534.8,-790.0,790.0
Job_022,0,1647.97,3715.189997094013,M1,2534.8,81.0,2615.8,-1099.39,1099.39
Job_017,9,1324.04,2570.684120384939,M9,2548.88,21.0,2569.88,-0.8,0.8
Job_018,5,1429.61,3133.8829747034606,M9,2569.88,76.0,2645.88,-488.0,488.0
Job_026,1,1955.63,3656.7469136391956,M0,2578.8,86.0,2664.8,-991.95,991.95
Job_012,9,1003.56,2613.151142775491,M8,2583.15,30.0,2613.15,-0.0,0.0
Job_023,7,1686.61,2926.9419982564077,M7,2587.22,49.0,2636.22,-290.72,290.72
Job_011,8,944.71,2828.8784553666037,M4,2592.8,26.0,2618.8,-210.08,210.08
Job_020,6,1528.05,3137.641142775491,M6,2598.61,46.0,2644.61,-493.03,493.03
Job_019,8,1440.0,2686.644120384939,M8,2613.15,44.0,2657.15,-29.49,29.49
Job_022,1,1647.97,3715.189997094013,M2,2615.8,95.0,2710.8,-1004.39,1004.39
Job_014,4,1190.89,3258.109997094013,M6,2644.61,9.0,2653.61,-604.5,604.5
Job_018,6,1429.61,3133.8829747034606,M5,2645.88,47.0,2692.88,-441.0,441.0
Job_014,5,1190.89,3258.109997094013,M8,2657.15,52.0,2709.15,-548.96,548.96
Job_026,2,1955.63,3656.7469136391956,M1,2664.8,46.0,2710.8,-945.95,945.95
Job_019,9,1440.0,2686.644120384939,M9,2665.64,21.0,2686.64,0.0,0.0
Job_023,8,1686.61,2926.9419982564077,M9,2686.64,72.0,2758.64,-168.3,168.3
Job_018,7,1429.61,3133.8829747034606,M3,2692.88,52.0,2744.88,-389.0,389.0
Job_024,2,1759.39,3324.7962878757717,M5,2692.88,52.0,2744.88,-579.91,579.91
Job_022,2,1647.97,3715.189997094013,M0,2710.8,71.0,2781.8,-933.39,933.39
Job_028,0,2221.95,3926.2229747034607,M1,2710.8,85.0,2795.8,-1130.43,1130.43
Job_034,0,2637.28,3877.611998256408,M2,2710.8,14.0,2724.8,-1152.82,1152.82
Job_013,9,1185.73,2751.136287875772,M7,2726.14,25.0,2751.14,0.0,0.0
Job_018,8,1429.61,3133.8829747034606,M4,2744.88,90.0,2834.88,-299.0,299.0
Job_020,7,1528.05,3137.641142775491,M5,2744.88,46.0,2790.88,-346.76,346.76
Job_024,3,1759.39,3324.7962878757717,M3,2744.88,95.0,2839.88,-484.91,484.91
Job_011,9,944.71,2828.8784553666037,M8,2754.88,74.0,2828.88,0.0,0.0
Job_016,8,1198.72,2991.3626845028994,M9,2758.64,45.0,2803.64,-187.72,187.72
Job_034,1,2637.28,3877.611998256408,M0,2781.8,6.0,2787.8,-1089.82,1089.82
Job_020,8,1528.05,3137.641142775491,M7,2790.88,72.0,2862.88,-274.76,274.76
Job_026,3,1955.63,3656.7469136391956,M5,2790.88,74.0,2864.88,-791.86,791.86
Job_028,1,2221.95,3926.2229747034607,M0,2795.8,13.0,2808.8,-1117.43,1117.43
Job_034,2,2637.28,3877.611998256408,M1,2795.8,22.0,2817.8,-1059.82,1059.82
Job_025,6,1799.74,3112.661402734518,M9,2803.64,32.0,2835.64,-277.02,277.02
Job_036,0,2764.04,4010.684120384939,M0,2808.8,29.0,2837.8,-1172.89,1172.89
Job_022,3,1647.97,3715.189997094013,M4,2834.88,99.0,2933.88,-781.31,781.31
Job_031,0,2443.56,4053.151142775491,M0,2837.8,43.0,2880.8,-1172.35,1172.35
Job_036,1,2764.04,4010.684120384939,M1,2837.8,78.0,2915.8,-1094.89,1094.89
Job_021,2,1592.78,3385.4226845028998,M3,2839.88,39.0,2878.88,-506.54,506.54
Job_024,4,1759.39,3324.7962878757717,M8,2839.88,48.0,2887.88,-436.91,436.91
Job_014,6,1190.89,3258.109997094013,M7,2862.88,85.0,2947.88,-310.23,310.23
Job_023,9,1686.61,2926.9419982564077,M6,2873.94,53.0,2926.94,-0.0,0.0
Job_021,3,1592.78,3385.4226845028998,M2,2878.88,74.0,2952.88,-432.54,432.54
Job_027,0,2188.04,4072.2084553666036,M0,2880.8,76.0,2956.8,-1115.41,1115.41
Job_024,5,1759.39,3324.7962878757717,M9,2887.88,72.0,2959.88,-364.91,364.91
Job_025,7,1799.74,3112.661402734518,M8,2887.88,89.0,2976.88,-135.78,135.78
Job_014,7,1190.89,3258.109997094013,M3,2947.88,98.0,3045.88,-212.23,212.23
Job_028,2,2221.95,3926.2229747034607,M2,2952.88,61.0,3013.88,-912.34,912.34
Job_016,9,1198.72,2991.3626845028994,M4,2958.36,33.0,2991.36,0.0,0.0
Job_024,6,1759.39,3324.7962878757717,M0,2959.88,47.0,3006.88,-317.91,317.91
Job_021,4,1592.78,3385.4226845028998,M8,2976.88,90.0,3066.88,-318.54,318.54
Job_025,8,1799.74,3112.661402734518,M7,2976.88,30.0,3006.88,-105.78,105.78
Job_024,7,1759.39,3324.7962878757717,M6,3006.88,65.0,3071.88,-252.91,252.91
Job_036,2,2764.04,4010.684120384939,M2,3013.88,9.0,3022.88,-987.8,987.8
Job_029,0,2331.94,4033.056913639195,M2,3022.88,31.0,3053.88,-979.17,979.17
Job_014,8,1190.89,3258.109997094013,M9,3045.88,22.0,3067.88,-190.23,190.23
Job_036,3,2764.04,4010.684120384939,M3,3045.88,36.0,3081.88,-928.8,928.8
Job_029,1,2331.94,4033.056913639195,M0,3053.88,86.0,3139.88,-893.17,893.17
Job_031,1,2443.56,4053.151142775491,M2,3053.88,90.0,3143.88,-909.27,909.27
Job_025,9,1799.74,3112.661402734518,M4,3057.66,55.0,3112.66,0.0,0.0
Job_021,5,1592.78,3385.4226845028998,M5,3066.88,10.0,3076.88,-308.54,308.54
Job_028,3,2221.95,3926.2229747034607,M6,3071.88,7.0,3078.88,-847.34,847.34
Job_021,6,1592.78,3385.4226845028998,M7,3076.88,12.0,3088.88,-296.54,296.54
Job_034,3,2637.28,3877.611998256408,M5,3076.88,61.0,3137.88,-739.73,739.73
Job_018,9,1429.61,3133.8829747034606,M7,3088.88,45.0,3133.88,-0.0,0.0
Job_021,7,1592.78,3385.4226845028998,M6,3088.88,89.0,3177.88,-207.54,207.54
Job_020,9,1528.05,3137.641142775491,M8,3107.64,30.0,3137.64,-0.0,0.0
Job_024,8,1759.39,3324.7962878757717,M4,3112.66,6.0,3118.66,-206.13,206.13
Job_026,4,1955.63,3656.7469136391956,M4,3118.66,32.0,3150.66,-506.09,506.09
Job_028,4,2221.95,3926.2229747034607,M8,3137.64,64.0,3201.64,-724.58,724.58
Job_034,4,2637.28,3877.611998256408,M3,3137.88,26.0,3163.88,-713.73,713.73
Job_029,2,2331.94,4033.056913639195,M1,3139.88,46.0,3185.88,-847.17,847.17
Job_030,0,2384.71,4268.878455366604,M0,3139.88,76.0,3215.88,-1053.0,1053.0
Job_032,0,2625.73,4191.136287875772,M2,3143.88,84.0,3227.88,-963.25,963.25
Job_036,4,2764.04,4010.684120384939,M4,3150.66,49.0,3199.66,-811.02,811.02
Job_022,4,1647.97,3715.189997094013,M6,3177.88,9.0,3186.88,-528.31,528.31
Job_027,1,2188.04,4072.2084553666036,M1,3185.88,69.0,3254.88,-817.33,817.33
Job_026,5,1955.63,3656.7469136391956,M6,3186.88,88.0,3274.88,-381.86,381.86
Job_034,5,2637.28,3877.611998256408,M4,3199.66,69.0,3268.66,-608.95,608.95
Job_022,5,1647.97,3715.189997094013,M8,3201.64,52.0,3253.64,-461.55,461.55
Job_028,5,2221.95,3926.2229747034607,M9,3201.64,76.0,3277.64,-648.58,648.58
Job_014,9,1190.89,3258.109997094013,M5,3215.11,43.0,3258.11,-0.0,0.0
Job_027,2,2188.04,4072.2084553666036,M3,3254.88,76.0,3330.88,-741.33,741.33
Job_032,1,2625.73,4191.136287875772,M1,3254.88,2.0,3256.88,-934.25,934.25
Job_030,1,2384.71,4268.878455366604,M1,3256.88,69.0,3325.88,-943.0,943.0
Job_026,6,1955.63,3656.7469136391956,M8,3274.88,19.0,3293.88,-362.86,362.86
Job_021,8,1592.78,3385.4226845028998,M9,3277.64,45.0,3322.64,-62.78,62.78
Job_028,6,2221.95,3926.2229747034607,M5,3277.64,47.0,3324.64,-601.58,601.58
Job_034,6,2637.28,3877.611998256408,M8,3293.88,21.0,3314.88,-562.73,562.73
Job_024,9,1759.39,3324.7962878757717,M7,3299.8,25.0,3324.8,0.0,0.0
Job_026,7,1955.63,3656.7469136391956,M9,3322.64,48.0,3370.64,-286.11,286.11
Job_029,3,2331.94,4033.056913639195,M5,3324.64,74.0,3398.64,-634.42,634.42
Job_022,6,1647.97,3715.189997094013,M7,3324.8,85.0,3409.8,-305.39,305.39
Job_035,0,2638.72,4431.362684502899,M1,3325.88,91.0,3416.88,-1014.48,1014.48
Job_028,7,2221.95,3926.2229747034607,M3,3330.88,52.0,3382.88,-543.34,543.34
Job_021,9,1592.78,3385.4226845028998,M4,3352.42,33.0,3385.42,0.0,0.0
Job_031,2,2443.56,4053.151142775491,M4,3385.42,75.0,3460.42,-592.73,592.73
Job_036,5,2764.04,4010.684120384939,M5,3398.64,11.0,3409.64,-601.04,601.04
Job_027,3,2188.04,4072.2084553666036,M5,3409.64,51.0,3460.64,-611.57,611.57
Job_036,6,2764.04,4010.684120384939,M6,3409.64,62.0,3471.64,-539.04,539.04
Job_022,7,1647.97,3715.189997094013,M3,3409.8,98.0,3507.8,-207.39,207.39
Job_026,8,1955.63,3656.7469136391956,M7,3409.8,36.0,3445.8,-210.95,210.95
Job_035,1,2638.72,4431.362684502899,M0,3416.88,85.0,3501.88,-929.48,929.48
Job_034,7,2637.28,3877.611998256408,M7,3445.8,49.0,3494.8,-382.82,382.82
Job_029,4,2331.94,4033.056913639195,M4,3460.42,32.0,3492.42,-540.63,540.63
Job_031,3,2443.56,4053.151142775491,M9,3460.42,11.0,3471.42,-581.73,581.73
Job_027,4,2188.04,4072.2084553666036,M2,3460.64,85.0,3545.64,-526.57,526.57
Job_032,2,2625.73,4191.136287875772,M5,3460.64,52.0,3512.64,-678.5,678.5
Job_028,8,2221.95,3926.2229747034607,M4,3492.42,90.0,3582.42,-343.8,343.8
Job_029,5,2331.94,4033.056913639195,M6,3492.42,88.0,3580.42,-452.63,452.63
Job_034,8,2637.28,3877.611998256408,M9,3494.8,72.0,3566.8,-310.82,310.82
Job_036,7,2764.04,4010.684120384939,M7,3494.8,56.0,3550.8,-459.89,459.89
Job_031,4,2443.56,4053.151142775491,M3,3507.8,69.0,3576.8,-476.35,476.35
Job_022,8,1647.97,3715.189997094013,M9,3566.8,22.0,3588.8,-126.39,126.39
Job_031,5,2443.56,4053.151142775491,M1,3576.8,28.0,3604.8,-448.35,448.35
Job_026,9,1955.63,3656.7469136391956,M3,3577.75,79.0,3656.75,-0.0,0.0
Job_029,6,2331.94,4033.056913639195,M8,3580.42,19.0,3599.42,-433.63,433.63
Job_027,5,2188.04,4072.2084553666036,M9,3588.8,11.0,3599.8,-472.41,472.41
Job_036,8,2764.04,4010.684120384939,M8,3599.42,44.0,3643.42,-367.26,367.26
Job_029,7,2331.94,4033.056913639195,M9,3599.8,48.0,3647.8,-385.26,385.26
Job_031,6,2443.56,4053.151142775491,M6,3604.8,46.0,3650.8,-402.35,402.35
Job_037,0,2869.61,4573.8829747034615,M1,3604.8,85.0,3689.8,-884.09,884.09
Job_027,6,2188.04,4072.2084553666036,M6,3650.8,40.0,3690.8,-381.41,381.41
Job_029,8,2331.94,4033.056913639195,M7,3654.8,36.0,3690.8,-342.26,342.26
Job_032,3,2625.73,4191.136287875772,M3,3656.75,95.0,3751.75,-439.39,439.39
Job_022,9,1647.97,3715.189997094013,M5,3672.19,43.0,3715.19,-0.0,0.0
Job_027,7,2188.04,4072.2084553666036,M7,3690.8,89.0,3779.8,-292.41,292.41
Job_031,7,2443.56,4053.151142775491,M5,3715.19,46.0,3761.19,-291.96,291.96
Job_032,4,2625.73,4191.136287875772,M8,3751.75,48.0,3799.75,-391.39,391.39
Job_035,2,2638.72,4431.362684502899,M3,3751.75,39.0,3790.75,-640.62,640.62
Job_027,8,2188.04,4072.2084553666036,M4,3779.8,26.0,3805.8,-266.41,266.41
Job_030,2,2384.71,4268.878455366604,M3,3790.75,76.0,3866.75,-402.13,402.13
Job_035,3,2638.72,4431.362684502899,M2,3790.75,74.0,3864.75,-566.62,566.62
Job_032,5,2625.73,4191.136287875772,M9,3799.75,72.0,3871.75,-319.39,319.39
Job_034,9,2637.28,3877.611998256408,M6,3824.61,53.0,3877.61,-0.0,0.0
Job_035,4,2638.72,4431.362684502899,M8,3864.75,90.0,3954.75,-476.62,476.62
Job_030,3,2384.71,4268.878455366604,M5,3866.75,51.0,3917.75,-351.13,351.13
Job_032,6,2625.73,4191.136287875772,M0,3871.75,47.0,3918.75,-272.39,272.39
Job_028,9,2221.95,3926.2229747034607,M7,3881.22,45.0,3926.22,-0.0,0.0
Job_030,4,2384.71,4268.878455366604,M2,3917.75,85.0,4002.75,-266.13,266.13
Job_032,7,2625.73,4191.136287875772,M6,3918.75,65.0,3983.75,-207.39,207.39
Job_037,1,2869.61,4573.8829747034615,M0,3918.75,13.0,3931.75,-642.14,642.14
Job_031,8,2443.56,4053.151142775491,M7,3926.22,72.0,3998.22,-54.93,54.93
Job_029,9,2331.94,4033.056913639195,M3,3954.06,79.0,4033.06,-0.0,0.0
Job_027,9,2188.04,4072.2084553666036,M8,3954.75,74.0,4028.75,-43.46,43.46
Job_035,5,2638.72,4431.362684502899,M5,3954.75,10.0,3964.75,-466.62,466.62
Job_033,0,2630.89,4698.109997094012,M1,3982.75,81.0,4063.75,-634.36,634.36
Job_032,8,2625.73,4191.136287875772,M4,3983.75,6.0,3989.75,-201.39,201.39
Job_036,9,2764.04,4010.684120384939,M9,3989.68,21.0,4010.68,0.0,0.0
Job_035,6,2638.72,4431.362684502899,M7,3998.22,12.0,4010.22,-421.14,421.14
Job_037,2,2869.61,4573.8829747034615,M2,4002.75,61.0,4063.75,-510.14,510.14
Job_030,5,2384.71,4268.878455366604,M9,4010.68,11.0,4021.68,-247.19,247.19
Job_030,6,2384.71,4268.878455366604,M6,4021.68,40.0,4061.68,-207.19,207.19
Job_031,9,2443.56,4053.151142775491,M8,4028.75,30.0,4058.75,5.6,5.6
Job_030,7,2384.71,4268.878455366604,M7,4061.68,89.0,4150.68,-118.19,118.19
Job_033,1,2630.89,4698.109997094012,M2,4063.75,95.0,4158.75,-539.36,539.36
Job_037,3,2869.61,4573.8829747034615,M6,4063.75,7.0,4070.75,-503.14,503.14
Job_035,7,2638.72,4431.362684502899,M6,4070.75,89.0,4159.75,-271.62,271.62
Job_037,4,2869.61,4573.8829747034615,M8,4070.75,64.0,4134.75,-439.14,439.14
Job_030,8,2384.71,4268.878455366604,M4,4150.68,26.0,4176.68,-92.19,92.19
Job_033,2,2630.89,4698.109997094012,M0,4158.75,71.0,4229.75,-468.36,468.36
Job_035,8,2638.72,4431.362684502899,M9,4159.75,45.0,4204.75,-226.62,226.62
Job_032,9,2625.73,4191.136287875772,M7,4166.14,25.0,4191.14,0.0,0.0
Job_030,9,2384.71,4268.878455366604,M8,4194.88,74.0,4268.88,0.0,0.0
Job_037,5,2869.61,4573.8829747034615,M9,4204.75,76.0,4280.75,-293.14,293.14
Job_033,3,2630.89,4698.109997094012,M4,4229.75,99.0,4328.75,-369.36,369.36
Job_037,6,2869.61,4573.8829747034615,M5,4280.75,47.0,4327.75,-246.14,246.14
Job_037,7,2869.61,4573.8829747034615,M3,4327.75,52.0,4379.75,-194.14,194.14
Job_033,4,2630.89,4698.109997094012,M6,4328.75,9.0,4337.75,-360.36,360.36
Job_033,5,2630.89,4698.109997094012,M8,4337.75,52.0,4389.75,-308.36,308.36
Job_033,6,2630.89,4698.109997094012,M7,4389.75,85.0,4474.75,-223.36,223.36
Job_035,9,2638.72,4431.362684502899,M4,4398.36,33.0,4431.36,0.0,0.0
Job_037,8,2869.61,4573.8829747034615,M4,4438.88,90.0,4528.88,-45.0,45.0
Job_037,9,2869.61,4573.8829747034615,M7,4528.88,45.0,4573.88,-0.0,0.0
Job_033,7,2630.89,4698.109997094012,M3,4535.11,98.0,4633.11,-65.0,65.0
Job_033,8,2630.89,4698.109997094012,M9,4633.11,22.0,4655.11,-43.0,43.0
Job_033,9,2630.89,4698.109997094012,M5,4655.11,43.0,4698.11,-0.0,0.0
