Job,Operation,Arrival,Machine,Planned Start,Processing Time
Job_033,1,2568.21,M2,3003.21,95.0
Job_030,3,2334.99,M5,3039.21,51.0
Job_034,1,2574.27,M0,3041.21,6.0
Job_029,6,2285.0,M8,3044.21,19.0
Job_027,8,2148.67,M4,3045.21,26.0
Job_035,1,2575.63,M0,3047.21,85.0
Job_029,7,2285.0,M9,3063.21,48.0
Job_027,9,2148.67,M8,3071.21,74.0
Job_028,7,2180.79,M3,3072.21,52.0
Job_031,5,2390.74,M1,3072.21,28.0
Job_030,4,2334.99,M2,3098.21,85.0
Job_031,6,2390.74,M6,3100.21,46.0
Job_032,1,2563.32,M1,3100.21,2.0
Job_032,2,2563.32,M5,3102.21,52.0
Job_034,2,2574.27,M1,3102.21,22.0
Job_028,8,2180.79,M4,3124.21,90.0
Job_035,2,2575.63,M3,3132.21,39.0
Job_036,0,2694.35,M0,3132.21,29.0
Job_031,7,2390.74,M5,3154.21,46.0
Job_033,2,2568.21,M0,3161.21,71.0
Job_036,1,2694.35,M1,3161.21,78.0
Job_032,3,2563.32,M3,3171.21,95.0
Job_030,5,2334.99,M9,3183.21,11.0
Job_035,3,2575.63,M2,3183.21,74.0
Job_030,6,2334.99,M6,3194.21,40.0
Job_034,3,2574.27,M5,3200.21,61.0
Job_028,9,2180.79,M7,3214.21,45.0
Job_033,3,2568.21,M4,3232.21,99.0
Job_038,0,2880.0,M0,3232.21,29.0
Job_037,0,2794.37,M1,3239.21,85.0
Job_036,2,2694.35,M2,3257.21,9.0
Job_029,8,2285.0,M7,3259.21,36.0
Job_032,4,2563.32,M8,3266.21,48.0
Job_029,9,2285.0,M3,3295.21,79.0
Job_031,8,2390.74,M7,3295.21,72.0
Job_032,5,2563.32,M9,3314.21,72.0
Job_037,1,2794.37,M0,3324.21,13.0
Job_038,1,2880.0,M1,3324.21,78.0
Job_033,4,2568.21,M6,3331.21,9.0
Job_039,0,2963.42,M0,3337.21,43.0
Job_037,2,2794.37,M2,3337.21,61.0
Job_030,7,2334.99,M7,3367.21,89.0
Job_031,9,2390.74,M8,3367.21,30.0
Job_034,4,2574.27,M3,3374.21,26.0
Job_032,6,2563.32,M0,3386.21,47.0
Job_035,4,2575.63,M8,3397.21,90.0
Job_036,3,2694.35,M3,3400.21,36.0
Job_038,2,2880.0,M2,3402.21,9.0
Job_040,0,3024.74,M1,3402.21,91.0
Job_039,1,2963.42,M2,3411.21,90.0
Job_032,7,2563.32,M6,3433.21,65.0
Job_038,3,2880.0,M3,3436.21,36.0
Job_030,8,2334.99,M4,3456.21,26.0
Job_034,5,2574.27,M4,3482.21,69.0
Job_035,5,2575.63,M5,3487.21,10.0
Job_033,5,2568.21,M8,3487.21,52.0
Job_041,0,3077.03,M1,3493.21,81.0
Job_035,6,2575.63,M7,3497.21,12.0
Job_042,0,3113.63,M2,3501.21,14.0
Job_035,7,2575.63,M6,3509.21,89.0
Job_042,1,3113.63,M0,3515.21,6.0
Job_043,0,3182.58,M2,3515.21,84.0
Job_040,1,3024.74,M0,3521.21,85.0
Job_030,9,2334.99,M8,3539.21,74.0
Job_033,6,2568.21,M7,3539.21,85.0
Job_036,4,2694.35,M4,3551.21,49.0
Job_042,2,3113.63,M1,3574.21,22.0
Job_035,8,2575.63,M9,3598.21,45.0
Job_043,1,3182.58,M1,3599.21,2.0
Job_041,1,3077.03,M2,3599.21,95.0
Job_032,8,2563.32,M4,3600.21,6.0
Job_036,5,2694.35,M5,3600.21,11.0
Job_044,0,3220.81,M1,3601.21,46.0
Job_038,4,2880.0,M4,3606.21,49.0
Job_036,6,2694.35,M6,3611.21,62.0
Job_034,6,2574.27,M8,3613.21,21.0
Job_032,9,2563.32,M7,3624.21,25.0
Job_033,7,2568.21,M3,3624.21,98.0
Job_044,1,3220.81,M0,3647.21,37.0
Job_034,7,2574.27,M7,3649.21,49.0
Job_035,9,2575.63,M4,3655.21,33.0
Job_038,5,2880.0,M5,3655.21,11.0
Job_042,3,3113.63,M5,3666.21,61.0
Job_037,3,2794.37,M6,3673.21,7.0
Job_037,4,2794.37,M8,3680.21,64.0
Job_039,2,2963.42,M4,3688.21,75.0
Job_038,6,2880.0,M6,3692.21,62.0
Job_034,8,2574.27,M9,3698.21,72.0
Job_036,7,2694.35,M7,3698.21,56.0
Job_040,2,3024.74,M3,3722.21,39.0
Job_036,8,2694.35,M8,3754.21,44.0
Job_038,7,2880.0,M7,3754.21,56.0
Job_040,3,3024.74,M2,3761.21,74.0
Job_042,4,3113.63,M3,3761.21,26.0
Job_033,8,2568.21,M9,3770.21,22.0
Job_034,9,2574.27,M6,3770.21,53.0
Job_042,5,3113.63,M4,3787.21,69.0
Job_033,9,2568.21,M5,3792.21,43.0
Job_039,3,2963.42,M9,3792.21,11.0
Job_037,5,2794.37,M9,3803.21,76.0
Job_039,4,2963.42,M3,3803.21,69.0
Job_038,8,2880.0,M8,3810.21,44.0
Job_043,2,3182.58,M5,3835.21,52.0
Job_045,0,3368.49,M2,3835.21,31.0
Job_042,6,3113.63,M8,3856.21,21.0
Job_045,1,3368.49,M0,3866.21,86.0
Job_039,5,2963.42,M1,3872.21,28.0
Job_040,4,3024.74,M8,3877.21,90.0
Job_042,7,3113.63,M7,3877.21,49.0
Job_036,9,2694.35,M9,3879.21,21.0
Job_043,3,3182.58,M3,3887.21,95.0
Job_037,6,2794.37,M5,3887.21,47.0
Job_038,9,2880.0,M9,3900.21,21.0
Job_039,6,2963.42,M6,3900.21,46.0
Job_042,8,3113.63,M9,3926.21,72.0
Job_039,7,2963.42,M5,3946.21,46.0
Job_041,2,3077.03,M0,3952.21,71.0
Job_045,2,3368.49,M1,3952.21,46.0
Job_037,7,2794.37,M3,3982.21,52.0
Job_043,4,3182.58,M8,3982.21,48.0
Job_039,8,2963.42,M7,3992.21,72.0
Job_040,5,3024.74,M5,3992.21,10.0
Job_042,9,3113.63,M6,3998.21,53.0
Job_047,0,3620.79,M1,3998.21,85.0
Job_043,5,3182.58,M9,4030.21,72.0
Job_037,8,2794.37,M4,4034.21,90.0
Job_044,2,3220.81,M3,4034.21,61.0
Job_039,9,2963.42,M8,4064.21,30.0
Job_044,3,3220.81,M2,4095.21,13.0
Job_043,6,3182.58,M0,4102.21,47.0
Job_044,4,3220.81,M6,4108.21,32.0
Job_048,0,3725.0,M2,4108.21,31.0
Job_037,9,2794.37,M7,4124.21,45.0
Job_041,3,3077.03,M4,4124.21,99.0
Job_044,5,3220.81,M5,4140.21,21.0
Job_046,0,3588.67,M0,4149.21,76.0
Job_044,6,3220.81,M9,4161.21,32.0
Job_045,3,3368.49,M5,4161.21,74.0
Job_040,6,3024.74,M7,4169.21,12.0
Job_040,7,3024.74,M6,4181.21,89.0
Job_046,1,3588.67,M1,4225.21,69.0
Job_047,1,3620.79,M0,4225.21,13.0
Job_047,2,3620.79,M2,4238.21,61.0
Job_048,1,3725.0,M0,4238.21,86.0
Job_040,8,3024.74,M9,4270.21,45.0
Job_041,4,3077.03,M6,4270.21,9.0
Job_041,5,3077.03,M8,4279.21,52.0
Job_043,7,3182.58,M6,4279.21,65.0
Job_046,2,3588.67,M3,4294.21,76.0
Job_040,9,3024.74,M4,4315.21,33.0
Job_048,2,3725.0,M1,4324.21,46.0
Job_049,0,3774.99,M0,4324.21,76.0
Job_044,7,3220.81,M8,4331.21,89.0
Job_041,6,3077.03,M7,4331.21,85.0
Job_045,4,3368.49,M4,4348.21,32.0
Job_046,3,3588.67,M5,4370.21,51.0
Job_043,8,3182.58,M4,4380.21,6.0
Job_045,5,3368.49,M6,4380.21,88.0
Job_049,1,3774.99,M1,4400.21,69.0
Job_050,0,3830.74,M0,4400.21,43.0
Job_041,7,3077.03,M3,4416.21,98.0
Job_043,9,3182.58,M7,4416.21,25.0
Job_044,8,3220.81,M7,4441.21,30.0
Job_050,1,3830.74,M2,4443.21,90.0
Job_045,6,3368.49,M8,4468.21,19.0
Job_047,3,3620.79,M6,4468.21,7.0
Job_044,9,3220.81,M4,4471.21,55.0
Job_045,7,3368.49,M9,4487.21,48.0
Job_047,4,3620.79,M8,4487.21,64.0
Job_046,4,3588.67,M2,4533.21,85.0
Job_041,8,3077.03,M9,4535.21,22.0
Job_045,8,3368.49,M7,4535.21,36.0
Job_041,9,3077.03,M5,4557.21,43.0
Job_047,5,3620.79,M9,4557.21,76.0
Job_045,9,3368.49,M3,4571.21,79.0
Job_053,0,4014.27,M2,4618.21,14.0
Job_051,0,4003.32,M2,4632.21,84.0
Job_053,1,4014.27,M0,4632.21,6.0
Job_046,5,3588.67,M9,4633.21,11.0
Job_047,6,3620.79,M5,4633.21,47.0
Job_053,2,4014.27,M1,4638.21,22.0
Job_046,6,3588.67,M6,4644.21,40.0
Job_049,2,3774.99,M3,4650.21,76.0
Job_048,3,3725.0,M5,4680.21,74.0
Job_046,7,3588.67,M7,4684.21,89.0
Job_051,1,4003.32,M1,4716.21,2.0
Job_054,0,4015.63,M1,4718.21,91.0
Job_047,7,3620.79,M3,4726.21,52.0
Job_048,4,3725.0,M4,4754.21,32.0
Job_049,3,3774.99,M5,4754.21,51.0
Job_048,5,3725.0,M6,4786.21,88.0
Job_050,2,3830.74,M4,4786.21,75.0
Job_049,4,3774.99,M2,4805.21,85.0
Job_053,3,4014.27,M5,4805.21,61.0
Job_054,1,4015.63,M0,4809.21,85.0
Job_052,0,4008.21,M1,4809.21,81.0
Job_047,8,3620.79,M4,4861.21,90.0
Job_050,3,3830.74,M9,4861.21,11.0
Job_051,2,4003.32,M5,4866.21,52.0
Job_050,4,3830.74,M3,4872.21,69.0
Job_048,6,3725.0,M8,4874.21,19.0
Job_052,1,4008.21,M2,4890.21,95.0
Job_048,7,3725.0,M9,4893.21,48.0
Job_055,0,4134.35,M0,4894.21,29.0
Job_049,5,3774.99,M9,4941.21,11.0
Job_050,5,3830.74,M1,4941.21,28.0
Job_053,4,4014.27,M3,4941.21,26.0
Job_046,8,3588.67,M4,4951.21,26.0
Job_047,9,3620.79,M7,4951.21,45.0
Job_051,3,4003.32,M3,4967.21,95.0
Job_050,6,3830.74,M6,4969.21,46.0
Job_056,0,4234.37,M1,4969.21,85.0
Job_046,9,3588.67,M8,4977.21,74.0
Job_053,5,4014.27,M4,4977.21,69.0
Job_052,2,4008.21,M0,4985.21,71.0
Job_048,8,3725.0,M7,4996.21,36.0
Job_049,6,3774.99,M6,5015.21,40.0
Job_050,7,3830.74,M5,5015.21,46.0
Job_053,6,4014.27,M8,5051.21,21.0
Job_055,1,4134.35,M1,5054.21,78.0
Job_056,1,4234.37,M0,5056.21,13.0
Job_054,2,4015.63,M3,5062.21,39.0
Job_056,2,4234.37,M2,5069.21,61.0
Job_053,7,4014.27,M7,5072.21,49.0
Job_051,4,4003.32,M8,5072.21,48.0
Job_048,9,3725.0,M3,5101.21,79.0
Job_050,8,3830.74,M7,5121.21,72.0
Job_053,8,4014.27,M9,5121.21,72.0
Job_054,3,4015.63,M2,5130.21,74.0
Job_056,3,4234.37,M6,5130.21,7.0
Job_049,7,3774.99,M7,5193.21,89.0
Job_050,9,3830.74,M8,5193.21,30.0
Job_051,5,4003.32,M9,5193.21,72.0
Job_053,9,4014.27,M6,5193.21,53.0
Job_055,2,4134.35,M2,5204.21,9.0
Job_055,3,4134.35,M3,5213.21,36.0
Job_056,4,4234.37,M8,5223.21,64.0
Job_051,6,4003.32,M0,5265.21,47.0
Job_049,8,3774.99,M4,5282.21,26.0
Job_054,4,4015.63,M8,5287.21,90.0
Job_056,5,4234.37,M9,5287.21,76.0
Job_051,7,4003.32,M6,5312.21,65.0
Job_049,9,3774.99,M8,5377.21,74.0
Job_051,8,4003.32,M4,5377.21,6.0
Job_054,5,4015.63,M5,5377.21,10.0
Job_052,3,4008.21,M4,5383.21,99.0
Job_054,6,4015.63,M7,5387.21,12.0
Job_056,6,4234.37,M5,5387.21,47.0
Job_051,9,4003.32,M7,5399.21,25.0
Job_056,7,4234.37,M3,5434.21,52.0
Job_055,4,4134.35,M4,5482.21,49.0
Job_052,4,4008.21,M6,5482.21,9.0
Job_052,5,4008.21,M8,5491.21,52.0
Job_054,7,4015.63,M6,5491.21,89.0
Job_055,5,4134.35,M5,5531.21,11.0
Job_056,8,4234.37,M4,5531.21,90.0
Job_052,6,4008.21,M7,5543.21,85.0
Job_054,8,4015.63,M9,5580.21,45.0
Job_055,6,4134.35,M6,5580.21,62.0
Job_054,9,4015.63,M4,5625.21,33.0
Job_052,7,4008.21,M3,5628.21,98.0
Job_056,9,4234.37,M7,5628.21,45.0
Job_055,7,4134.35,M7,5673.21,56.0
Job_052,8,4008.21,M9,5726.21,22.0
Job_055,8,4134.35,M8,5729.21,44.0
Job_052,9,4008.21,M5,5748.21,43.0
Job_055,9,4134.35,M9,5773.21,21.0
